Date, Close 
2018-01-07, 53.81 
2018-01-08, 54.81 
2018-01-09, 55.81 
2018-01-10, 56.81 
2018-01-11, 57.81 
2018-01-12, 58.81 
2018-01-13, 59.81 
2018-01-14, 60.81 
2018-01-15, 61.81 
2018-01-16, 62.81 
2018-01-17, 63.81 
2018-01-18, 64.11 
2018-01-19, 67.21 
2018-01-22, 66.39 
2018-01-23, 67.14 
2018-01-24, 68.00 
2018-01-25, 67.71 
2018-01-26, 68.04 
2018-01-29, 67.58 
2018-01-30, 67.33 
2018-01-31, 68.22 
2018-02-01, 67.65 
2018-02-02, 67.22 
2018-02-05, 64.39 
2018-02-06, 65.22 
2018-02-07, 65.63 
2018-02-08, 62.49 
2018-02-09, 65.49 
2018-02-12, 65.98 
2018-02-13, 65.87 
2018-02-14, 67.96 
2018-02-15, 68.29 
2018-02-16, 68.30 
2018-02-20, 67.49 
2018-02-21, 67.05 
2018-02-22, 67.13 
2018-02-23, 68.16 
2018-02-26, 69.65 
2018-02-27, 68.03 
2018-02-28, 67.03 
2018-03-01, 66.32 
2018-03-02, 65.89 
2018-03-05, 65.05 
2018-03-06, 65.24 
2018-03-07, 64.17 
2018-03-08, 65.11 
2018-03-09, 66.30 
2018-03-12, 66.82 
2018-03-13, 66.17 
2018-03-14, 66.20 
2018-03-15, 66.39 
2018-03-16, 65.91 
2018-03-19, 65.71 
2018-03-20, 66.80 
2018-03-21, 66.35 
2018-03-22, 64.42 
2018-03-23, 64.63 
2018-03-26, 65.90 
2018-03-27, 66.17 
2018-03-28, 65.44 
2018-03-29, 66.44 
2018-04-02, 64.12 
2018-04-03, 66.70 
2018-04-04, 68.42 
2018-04-05, 69.59 
2018-04-06, 67.55 
2018-04-09, 67.18 
2018-04-10, 67.00 
2018-04-11, 66.83 
2018-04-12, 67.77 
2018-04-13, 67.25 
2018-04-16, 67.06 
2018-04-17, 67.51 
2018-04-18, 66.20 
2018-04-19, 65.73 
2018-04-20, 66.09 
2018-04-23, 66.88 
2018-04-24, 66.97 
2018-04-25, 66.67 
2018-04-26, 68.05 
2018-04-27, 69.56 
2018-04-30, 68.39 
2018-05-01, 68.10 
2018-05-02, 68.26 
2018-05-03, 66.90 
2018-05-04, 68.10 
2018-05-07, 69.34 
2018-05-08, 68.46 
2018-05-09, 67.95 
2018-05-10, 67.92 
2018-05-11, 68.43 
2018-05-14, 68.84 
2018-05-15, 69.50 
2018-05-16, 71.34 
2018-05-17, 70.94 
2018-05-18, 71.32 
2018-05-21, 71.38 
2018-05-22, 71.31 
2018-05-23, 71.34 
2018-05-24, 72.18 
2018-05-25, 72.25 
2018-05-29, 70.92 
2018-05-30, 72.23 
2018-05-31, 71.80 
2018-06-01, 72.76 
2018-06-04, 73.83 
2018-06-05, 74.05 
2018-06-06, 74.75 
2018-06-07, 74.76 
2018-06-08, 74.90 
2018-06-11, 74.59 
2018-06-12, 74.29 
2018-06-13, 74.11 
2018-06-14, 74.70 
2018-06-15, 75.84 
2018-06-18, 75.61 
2018-06-19, 74.26 
2018-06-20, 74.72 
2018-06-21, 73.94 
2018-06-22, 73.43 
2018-06-25, 72.35 
2018-06-26, 72.56 
2018-06-27, 71.35 
2018-06-28, 71.70 
2018-06-29, 79.68 
2018-07-02, 78.35 
2018-07-03, 76.28 
2018-07-05, 76.55 
2018-07-06, 76.48 
2018-07-09, 77.28 
2018-07-10, 77.57 
2018-07-11, 77.36 
2018-07-12, 77.37 
2018-07-13, 77.38 
2018-07-16, 77.75 
2018-07-17, 77.47 
2018-07-18, 76.59 
2018-07-19, 76.95 
2018-07-20, 76.96 
2018-07-23, 76.59 
2018-07-24, 75.53 
2018-07-25, 77.16 
2018-07-26, 78.15 
2018-07-27, 76.89 
2018-07-30, 75.96 
2018-07-31, 76.91 
2018-08-01, 77.54 
2018-08-02, 78.65 
2018-08-03, 78.74 
2018-08-06, 79.51 
2018-08-07, 80.53 
2018-08-08, 80.50 
2018-08-09, 81.26 
2018-08-10, 80.73 
2018-08-13, 80.15 
2018-08-14, 80.14 
2018-08-15, 79.57 
2018-08-16, 80.05 
2018-08-17, 79.75 
2018-08-20, 82.18 
2018-08-21, 82.95 
2018-08-22, 82.64 
2018-08-23, 82.91 
2018-08-24, 82.45 
2018-08-27, 82.65 
2018-08-28, 82.58 
2018-08-29, 82.79 
2018-08-30, 81.40 
2018-08-31, 82.20 
2018-09-04, 79.60 
2018-09-05, 79.92 
2018-09-06, 80.40 
2018-09-07, 80.30 
2018-09-10, 82.10 
2018-09-11, 82.63 
2018-09-12, 83.00 
2018-09-13, 83.47 
2018-09-14, 83.49 
2018-09-17, 83.26 
2018-09-18, 85.26 
2018-09-19, 84.43 
2018-09-20, 85.37 
2018-09-21, 85.55 
2018-09-24, 84.27 
2018-09-25, 84.79 
2018-09-26, 83.70 
2018-09-27, 84.54 
2018-09-28, 84.72 
2018-10-01, 84.46 
2018-10-02, 82.77 
2018-10-03, 82.50 
2018-10-04, 80.18 
2018-10-05, 80.12 
2018-10-08, 80.23 
2018-10-09, 80.42 
2018-10-10, 74.94 
2018-10-11, 74.51 
2018-10-12, 75.91 
2018-10-15, 74.99 
2018-10-16, 77.48 
2018-10-17, 76.48 
2018-10-18, 75.60 
2018-10-19, 74.21 
2018-10-22, 74.90 
2018-10-23, 73.35 
2018-10-24, 72.12 
2018-10-25, 73.10 
2018-10-26, 72.07 
2018-10-29, 72.19 
2018-10-30, 74.51 
2018-10-31, 75.04 
2018-11-01, 76.79 
2018-11-02, 76.58 
2018-11-05, 77.53 
2018-11-06, 76.57 
2018-11-07, 77.97 
2018-11-08, 77.78 
2018-11-09, 76.36 
2018-11-12, 75.10 
2018-11-13, 75.20 
2018-11-14, 75.20 
