Date, Close 
2018-01-07, 88.83 
2018-01-08, 89.83 
2018-01-09, 90.83 
2018-01-10, 91.83 
2018-01-11, 92.83 
2018-01-12, 93.83 
2018-01-13, 94.83 
2018-01-14, 95.83 
2018-01-15, 96.83 
2018-01-16, 97.83 
2018-01-17, 99.36 
2018-01-18, 98.59 
2018-01-19, 100.61 
2018-01-22, 100.28 
2018-01-23, 100.38 
2018-01-24, 100.30 
2018-01-25, 101.02 
2018-01-26, 101.52 
2018-01-29, 102.40 
2018-01-30, 100.78 
2018-01-31, 100.20 
2018-02-01, 100.14 
2018-02-02, 98.81 
2018-02-05, 95.27 
2018-02-06, 94.27 
2018-02-07, 94.21 
2018-02-08, 90.42 
2018-02-09, 91.25 
2018-02-12, 91.96 
2018-02-13, 93.00 
2018-02-14, 95.04 
2018-02-15, 88.34 
2018-02-16, 87.45 
2018-02-20, 89.64 
2018-02-21, 87.10 
2018-02-22, 86.76 
2018-02-23, 86.58 
2018-02-26, 86.24 
2018-02-27, 87.27 
2018-02-28, 87.22 
2018-03-01, 85.56 
2018-03-02, 85.74 
2018-03-05, 87.20 
2018-03-06, 89.68 
2018-03-07, 88.93 
2018-03-08, 89.66 
2018-03-09, 92.04 
2018-03-12, 92.01 
2018-03-13, 92.07 
2018-03-14, 92.17 
2018-03-15, 91.31 
2018-03-16, 90.98 
2018-03-19, 90.04 
2018-03-20, 90.91 
2018-03-21, 90.00 
2018-03-22, 88.88 
2018-03-23, 86.13 
2018-03-26, 87.40 
2018-03-27, 86.27 
2018-03-28, 86.50 
2018-03-29, 88.29 
2018-04-02, 85.10 
2018-04-03, 84.07 
2018-04-04, 85.90 
2018-04-05, 85.02 
2018-04-06, 83.32 
2018-04-09, 84.64 
2018-04-10, 87.16 
2018-04-11, 87.33 
2018-04-12, 88.14 
2018-04-13, 88.86 
2018-04-16, 89.50 
2018-04-17, 91.16 
2018-04-18, 91.96 
2018-04-19, 91.76 
2018-04-20, 91.02 
